timestamp,temp,hum,batt_soc,batt_temp,pm2.5,pm10,no2_we,ox_we
2024-08-01 00:00:00,63.53,70.46,69.12,66.16,21.86,35.1,264.95,270.25
2024-08-01 00:10:00,67.15,72.8,68.25,71.57,5.0,10.0,264.79,250.0
2024-08-01 00:20:00,69.57,71.91,67.24,71.57,15.11,24.89,316.91,250.0
2024-08-01 00:30:00,62.8,79.42,66.42,67.4,18.16,35.06,207.76,250.0
2024-08-01 00:40:00,62.1,75.94,65.54,68.69,5.0,15.5,229.63,258.22
2024-08-01 00:50:00,67.0,80.0,64.91,74.68,10.24,14.5,230.32,250.0
2024-08-01 01:00:00,59.0,79.54,64.05,60.68,6.38,10.0,205.42,250.0
2024-08-01 01:10:00,66.16,79.28,63.12,70.31,15.04,29.03,263.35,250.0
2024-08-01 01:20:00,59.0,73.66,62.34,61.35,12.85,15.34,240.37,250.0
2024-08-01 01:30:00,70.61,69.43,61.54,72.48,14.26,23.12,274.99,250.0
2024-08-01 01:40:00,63.68,73.92,60.98,67.6,27.13,37.95,303.46,250.0
2024-08-01 01:50:00,59.18,74.27,59.95,63.8,11.3,20.64,220.68,250.0
2024-08-01 02:00:00,64.88,72.05,59.47,69.53,16.63,18.99,261.35,261.62
2024-08-01 02:10:00,62.05,72.0,58.06,63.4,5.0,10.0,245.49,250.0
2024-08-01 02:20:00,62.96,78.09,57.01,66.42,19.77,32.71,247.28,250.0
2024-08-01 02:30:00,63.32,76.58,55.81,66.64,10.33,17.2,303.2,250.0
2024-08-01 02:40:00,69.89,78.49,55.02,73.65,16.45,23.84,268.81,250.0
2024-08-01 02:50:00,64.66,62.01,54.05,69.22,6.01,11.89,234.78,255.47
2024-08-01 03:00:00,71.35,71.49,53.25,75.02,14.83,31.17,325.15,250.0
2024-08-01 03:10:00,63.12,77.42,52.22,64.25,31.92,52.9,242.5,250.0
2024-08-01 03:20:00,68.91,64.94,51.77,73.87,14.59,22.04,253.25,269.53
2024-08-01 03:30:00,76.24,78.15,51.17,79.92,24.86,40.53,259.96,272.7
2024-08-01 03:40:00,69.0,67.28,50.06,73.5,16.08,31.98,251.74,250.0
2024-08-01 03:50:00,70.61,75.59,48.84,71.48,16.04,26.94,244.39,264.03
2024-08-01 04:00:00,77.06,62.34,48.03,80.61,16.64,22.17,264.02,260.92
2024-08-01 04:10:00,77.14,69.42,47.09,78.05,14.22,20.42,237.29,268.64
2024-08-01 04:20:00,70.65,68.47,46.57,74.98,36.71,63.21,237.79,250.0
2024-08-01 04:30:00,65.07,72.03,45.9,68.51,13.2,18.01,245.01,263.09
2024-08-01 04:40:00,62.54,71.13,44.69,66.74,14.64,26.35,230.55,302.34
2024-08-01 04:50:00,72.39,70.68,43.85,75.85,22.09,44.06,292.01,258.84
2024-08-01 05:00:00,73.48,65.54,43.0,75.8,16.33,30.13,265.71,277.41
2024-08-01 05:10:00,70.9,66.38,42.28,72.85,22.59,42.2,248.74,250.0
2024-08-01 05:20:00,68.9,66.05,41.37,72.01,5.97,14.26,200.0,278.1
2024-08-01 05:30:00,74.55,66.94,40.67,75.96,11.7,16.17,214.84,250.0
2024-08-01 05:40:00,75.0,69.78,39.76,79.98,19.29,28.28,246.57,280.33
2024-08-01 05:50:00,75.93,64.43,38.61,82.83,18.11,25.82,203.88,257.51
2024-08-01 06:00:00,75.74,56.6,38.37,77.5,19.44,27.81,266.17,316.97
2024-08-01 06:10:00,71.59,57.64,38.82,75.47,21.93,42.7,216.19,289.09
